Entity,average_probability,bins
a day,1510000000,Bin 4 (Highest)
biology,1500000000,Bin 4 (Highest)
economics,1450000000,Bin 4 (Highest)
television,1440000000,Bin 4 (Highest)
drugs,1440000000,Bin 4 (Highest)
Sunday,1440000000,Bin 4 (Highest)
police,1430000000,Bin 4 (Highest)
the role,1430000000,Bin 4 (Highest)
teachers,1410000000,Bin 4 (Highest)
attack,1410000000,Bin 4 (Highest)
a way,1400000000,Bin 4 (Highest)
permission,1400000000,Bin 4 (Highest)
instance,1390000000,Bin 4 (Highest)
confidence,1360000000,Bin 4 (Highest)
songs,1350000000,Bin 4 (Highest)
A year,1350000000,Bin 4 (Highest)
football,1340000000,Bin 4 (Highest)
Los Angeles,1330000000,Bin 4 (Highest)
Paris,1320000000,Bin 4 (Highest)
this time,1320000000,Bin 4 (Highest)
Switzerland,1320000000,Bin 4 (Highest)
leaves,1320000000,Bin 4 (Highest)
forces,1320000000,Bin 4 (Highest)
funds,1300000000,Bin 4 (Highest)
failure,1300000000,Bin 4 (Highest)
the key,1280000000,Bin 4 (Highest)
peace,1280000000,Bin 4 (Highest)
the official,1280000000,Bin 4 (Highest)
the city,1280000000,Bin 4 (Highest)
The city,1280000000,Bin 4 (Highest)
The key,1280000000,Bin 4 (Highest)
a part,1270000000,Bin 4 (Highest)
the same time,1270000000,Bin 4 (Highest)
the people,1260000000,Bin 4 (Highest)
William,1260000000,Bin 4 (Highest)
himself,1260000000,Bin 4 (Highest)
Sweden,1260000000,Bin 4 (Highest)
Investors,1240000000,Bin 4 (Highest)
residents,1240000000,Bin 4 (Highest)
investors,1240000000,Bin 4 (Highest)
The results,1240000000,Bin 4 (Highest)
battle,1230000000,Bin 4 (Highest)
Saturday,1230000000,Bin 4 (Highest)
aim,1230000000,Bin 4 (Highest)
the fact,1230000000,Bin 4 (Highest)
the company,1210000000,Bin 4 (Highest)
The company,1210000000,Bin 4 (Highest)
The Company,1210000000,Bin 4 (Highest)
Norway,1170000000,Bin 4 (Highest)
nations,1150000000,Bin 4 (Highest)
the community,1140000000,Bin 4 (Highest)
the team,1130000000,Bin 4 (Highest)
goods,1130000000,Bin 4 (Highest)
The team,1130000000,Bin 4 (Highest)
the area,1130000000,Bin 4 (Highest)
the risk,1130000000,Bin 4 (Highest)
The video,1120000000,Bin 4 (Highest)
the game,1110000000,Bin 4 (Highest)
the beginning,1110000000,Bin 4 (Highest)
Egypt,1110000000,Bin 4 (Highest)
breast,1110000000,Bin 4 (Highest)
volunteer,1110000000,Bin 4 (Highest)
Gap,1100000000,Bin 4 (Highest)
the left,1100000000,Bin 4 (Highest)
anniversary,1080000000,Bin 4 (Highest)
Boston,1070000000,Bin 4 (Highest)
Andrew,1070000000,Bin 4 (Highest)
The story,1070000000,Bin 4 (Highest)
a question,1070000000,Bin 4 (Highest)
The result,1060000000,Bin 4 (Highest)
approval,1050000000,Bin 4 (Highest)
talks,1050000000,Bin 4 (Highest)
Bridge,1050000000,Bin 4 (Highest)
scores,1050000000,Bin 4 (Highest)
Frame,1040000000,Bin 4 (Highest)
Tuesday,1040000000,Bin 4 (Highest)
scientists,1030000000,Bin 4 (Highest)
CEO,1030000000,Bin 4 (Highest)
Harris,1030000000,Bin 4 (Highest)
Wednesday,1030000000,Bin 4 (Highest)
The government,1020000000,Bin 4 (Highest)
Hong Kong,1020000000,Bin 4 (Highest)
The problem,1020000000,Bin 4 (Highest)
No one,1020000000,Bin 4 (Highest)
the government,1020000000,Bin 4 (Highest)
episodes,993000000,Bin 4 (Highest)
Wind,985000000,Bin 4 (Highest)
Some of them,978000000,Bin 4 (Highest)
a problem,976000000,Bin 4 (Highest)
suit,969000000,Bin 4 (Highest)
Thursday,965000000,Bin 4 (Highest)
moves,955000000,Bin 4 (Highest)
promotion,953000000,Bin 4 (Highest)
myself,948000000,Bin 4 (Highest)
A friend,948000000,Bin 4 (Highest)
a set,946000000,Bin 4 (Highest)
the other hand,928000000,Bin 4 (Highest)
rain,926000000,Bin 4 (Highest)
a job,924000000,Bin 4 (Highest)
the market,901000000,Bin 4 (Highest)
the latter,894000000,Bin 4 (Highest)
the Standard,887000000,Bin 4 (Highest)
North America,880000000,Bin 4 (Highest)
Oxford,866000000,Bin 4 (Highest)
expectations,851000000,Bin 4 (Highest)
Tea,850000000,Bin 4 (Highest)
The environment,846000000,Bin 4 (Highest)
the environment,846000000,Bin 4 (Highest)
Two years,836000000,Bin 4 (Highest)
dive,821000000,Bin 4 (Highest)
The news,814000000,Bin 4 (Highest)
wine,811000000,Bin 4 (Highest)
Elizabeth,810000000,Bin 4 (Highest)
Wilson,810000000,Bin 4 (Highest)
the years,810000000,Bin 4 (Highest)
rice,808000000,Bin 4 (Highest)
officials,807000000,Bin 4 (Highest)
colour,798000000,Bin 4 (Highest)
populations,798000000,Bin 4 (Highest)
consumers,788000000,Bin 4 (Highest)
The date,783000000,Bin 4 (Highest)
Pennsylvania,783000000,Bin 4 (Highest)
the south,778000000,Bin 4 (Highest)
scholars,765000000,Bin 4 (Highest)
this field,764000000,Bin 4 (Highest)
the group,764000000,Bin 4 (Highest)
the project,762000000,Bin 4 (Highest)
snow,758000000,Bin 4 (Highest)
analyst,756000000,Bin 4 (Highest)
Disney,753000000,Bin 4 (Highest)
The issue,750000000,Bin 4 (Highest)
Simon,750000000,Bin 4 (Highest)
drivers,746000000,Bin 4 (Highest)
a place,742000000,Bin 4 (Highest)
tuition,742000000,Bin 4 (Highest)
the region,738000000,Bin 4 (Highest)
BC,737000000,Bin 4 (Highest)
incident,734000000,Bin 4 (Highest)
Saudi Arabia,733000000,Bin 4 (Highest)
tonight,730000000,Bin 4 (Highest)
Parks,722000000,Bin 4 (Highest)
the possibility,695000000,Bin 4 (Highest)
the side,691000000,Bin 4 (Highest)
the concept,683000000,Bin 4 (Highest)
spots,682000000,Bin 4 (Highest)
Jay,679000000,Bin 4 (Highest)
the industry,678000000,Bin 4 (Highest)
Iran,669000000,Bin 4 (Highest)
The show,659000000,Bin 4 (Highest)
a chance,657000000,Bin 4 (Highest)
a month,656000000,Bin 4 (Highest)
that time,645000000,Bin 4 (Highest)
one day,642000000,Bin 4 (Highest)
furniture,642000000,Bin 4 (Highest)
the West,640000000,Bin 4 (Highest)
Sri Lanka,638000000,Bin 4 (Highest)
Liu,637000000,Bin 4 (Highest)
swimming,635000000,Bin 4 (Highest)
New Jersey,627000000,Bin 4 (Highest)
three years,615000000,Bin 4 (Highest)
the morning,613000000,Bin 4 (Highest)
the range,611000000,Bin 4 (Highest)
the line,604000000,Bin 4 (Highest)
United Arab Emirates,602000000,Bin 4 (Highest)
sons,599000000,Bin 4 (Highest)
the material,598000000,Bin 4 (Highest)
victory,587000000,Bin 4 (Highest)
A car,586000000,Bin 4 (Highest)
the test,582000000,Bin 4 (Highest)
the film,581000000,Bin 4 (Highest)
The film,581000000,Bin 4 (Highest)
the media,580000000,Bin 4 (Highest)
his wife,570000000,Bin 4 (Highest)
establishment,570000000,Bin 4 (Highest)
honors,564000000,Bin 4 (Highest)
the situation,564000000,Bin 4 (Highest)
inspection,562000000,Bin 4 (Highest)
The board,557000000,Bin 4 (Highest)
the board,557000000,Bin 4 (Highest)
seeds,545000000,Bin 4 (Highest)
South Korea,543000000,Bin 4 (Highest)
ties,540000000,Bin 4 (Highest)
leaf,538000000,Bin 4 (Highest)
ourselves,532000000,Bin 4 (Highest)
cinema,527000000,Bin 4 (Highest)
most people,526000000,Bin 4 (Highest)
Scotland,517000000,Bin 4 (Highest)
The report,508000000,Bin 4 (Highest)
the report,508000000,Bin 4 (Highest)
Iraq,505000000,Bin 4 (Highest)
Lithuania,502000000,Bin 4 (Highest)
the steps,502000000,Bin 4 (Highest)
a decade,502000000,Bin 4 (Highest)
The Earth,494000000,Bin 4 (Highest)
the brain,485000000,Bin 4 (Highest)
HIV,484000000,Bin 4 (Highest)
"an ""international outlook",482000000,Bin 4 (Highest)
Latvia,482000000,Bin 4 (Highest)
the President,479000000,Bin 4 (Highest)
the president,479000000,Bin 4 (Highest)
Afghanistan,472000000,Bin 4 (Highest)
magazines,465000000,Bin 4 (Highest)
the end of the year,464000000,Bin 4 (Highest)
many years,463000000,Bin 4 (Highest)
academia,462000000,Bin 4 (Highest)
Puerto Rico,462000000,Bin 4 (Highest)
the foundation,460000000,Bin 4 (Highest)
the building,459000000,Bin 4 (Highest)
The movie,455000000,Bin 4 (Highest)
EC,454000000,Bin 4 (Highest)
a story,451000000,Bin 4 (Highest)
criticism,451000000,Bin 4 (Highest)
the war,450000000,Bin 4 (Highest)
Ethiopia,448000000,Bin 4 (Highest)
Everybody,447000000,Bin 4 (Highest)
the Netherlands,447000000,Bin 4 (Highest)
this method,446000000,Bin 4 (Highest)
tears,440000000,Bin 4 (Highest)
farmers,440000000,Bin 4 (Highest)
a step,434000000,Bin 4 (Highest)
the door,433000000,Bin 4 (Highest)
Rome,432000000,Bin 4 (Highest)
wheels,432000000,Bin 4 (Highest)
the money,430000000,Bin 4 (Highest)
classics,429000000,Bin 4 (Highest)
a report,429000000,Bin 4 (Highest)
Maharashtra,428000000,Bin 4 (Highest)
their lives,427000000,Bin 4 (Highest)
Stewart,422000000,Bin 4 (Highest)
chairman,421000000,Bin 4 (Highest)
Honduras,421000000,Bin 4 (Highest)
a statement,419000000,Bin 4 (Highest)
Algeria,419000000,Bin 4 (Highest)
The solution,418000000,Bin 4 (Highest)
the fall,417000000,Bin 4 (Highest)
his life,417000000,Bin 4 (Highest)
two weeks,415000000,Bin 4 (Highest)
Douglas,412000000,Bin 4 (Highest)
hockey,404000000,Bin 4 (Highest)
Azure,403000000,Bin 4 (Highest)
ships,397000000,Bin 4 (Highest)
NASA,396000000,Bin 4 (Highest)
Karnataka,396000000,Bin 4 (Highest)
both sides,392000000,Bin 4 (Highest)
profits,391000000,Bin 4 (Highest)
the court,391000000,Bin 4 (Highest)
the edge,388000000,Bin 4 (Highest)
transitions,383000000,Bin 4 (Highest)
an interview,382000000,Bin 4 (Highest)
the transition,382000000,Bin 4 (Highest)
this problem,382000000,Bin 4 (Highest)
Bush,381000000,Bin 4 (Highest)
all the water,373000000,Bin 4 (Highest)
soldiers,366000000,Bin 4 (Highest)
Angola,364000000,Bin 4 (Highest)
a plan,359000000,Bin 4 (Highest)
the economy,358000000,Bin 4 (Highest)
Haiti,357000000,Bin 4 (Highest)
scripts,355000000,Bin 4 (Highest)
a cross,355000000,Bin 4 (Highest)
the lead,353000000,Bin 4 (Highest)
patience,351000000,Bin 4 (Highest)
Madrid,350000000,Bin 4 (Highest)
last month,348000000,Bin 4 (Highest)
flags,348000000,Bin 4 (Highest)
defects,346000000,Bin 4 (Highest)
South America,346000000,Bin 4 (Highest)
The use of the term,345000000,Bin 4 (Highest)
this story,344000000,Bin 4 (Highest)
other things,343000000,Bin 4 (Highest)
controversy,343000000,Bin 4 (Highest)
imprint,342000000,Bin 4 (Highest)
the balance,342000000,Bin 4 (Highest)
the task,341000000,Bin 4 (Highest)
favourites,340000000,Bin 4 (Highest)
a decision,337000000,Bin 4 (Highest)
corruption,337000000,Bin 4 (Highest)
the outside,335000000,Bin 4 (Highest)
the Middle East,334000000,Bin 4 (Highest)
The song,330000000,Bin 4 (Highest)
Next day,323000000,Bin 4 (Highest)
consultations,323000000,Bin 4 (Highest)
the scene,321000000,Bin 4 (Highest)
an attempt,320000000,Bin 4 (Highest)
The culture,311000000,Bin 4 (Highest)
New Mexico,310000000,Bin 4 (Highest)
Sony,310000000,Bin 4 (Highest)
the temperature,307000000,Bin 4 (Highest)
Gabriel,306000000,Bin 4 (Highest)
a house,306000000,Bin 4 (Highest)
folks,304000000,Bin 4 (Highest)
the Streets,304000000,Bin 4 (Highest)
several years,303000000,Bin 4 (Highest)
that work,303000000,Bin 4 (Highest)
prime minister,302000000,Bin 4 (Highest)
Jasmine,295000000,Bin 4 (Highest)
CBS,293000000,Bin 4 (Highest)
The audience,293000000,Bin 4 (Highest)
Christine,292000000,Bin 4 (Highest)
a city,292000000,Bin 4 (Highest)
Norfolk,291000000,Bin 4 (Highest)
fears,290000000,Bin 4 (Highest)
Beijing,290000000,Bin 4 (Highest)
Spencer,290000000,Bin 4 (Highest)
The battle,289000000,Bin 4 (Highest)
The park,289000000,Bin 4 (Highest)
a view,289000000,Bin 4 (Highest)
Islam,289000000,Bin 4 (Highest)
disasters,288000000,Bin 4 (Highest)
the ministry,288000000,Bin 4 (Highest)
Dublin,285000000,Bin 4 (Highest)
judges,285000000,Bin 4 (Highest)
three months,282000000,Bin 4 (Highest)
Infants,280000000,Bin 4 (Highest)
The objective,278000000,Bin 4 (Highest)
The mechanism,277000000,Bin 4 (Highest)
the universe,275000000,Bin 4 (Highest)
The letter,273000000,Bin 4 (Highest)
"This ""Japanese older brother",273000000,Bin 4 (Highest)
Gaza,271000000,Bin 4 (Highest)
the spring,269000000,Bin 4 (Highest)
more people,268000000,Bin 4 (Highest)
shame,266000000,Bin 4 (Highest)
several times,266000000,Bin 4 (Highest)
The island,265000000,Bin 4 (Highest)
the island,265000000,Bin 4 (Highest)
voters,262000000,Bin 4 (Highest)
the mother,259000000,Bin 4 (Highest)
The figure,258000000,Bin 4 (Highest)
a party,258000000,Bin 4 (Highest)
unemployment,256000000,Bin 4 (Highest)
his career,252000000,Bin 4 (Highest)
dealers,250000000,Bin 4 (Highest)
the pool,250000000,Bin 4 (Highest)
NBC,249000000,Bin 4 (Highest)
Analysts,248000000,Bin 4 (Highest)
analysts,248000000,Bin 4 (Highest)
the competition,248000000,Bin 4 (Highest)
a meeting,248000000,Bin 4 (Highest)
Norm,247000000,Bin 4 (Highest)
Hamas,247000000,Bin 4 (Highest)
the weekend,247000000,Bin 4 (Highest)
the society,243000000,Bin 4 (Highest)
more than a year,242000000,Bin 4 (Highest)
flour,240000000,Bin 4 (Highest)
The publication,238000000,Bin 4 (Highest)
The mission,238000000,Bin 4 (Highest)
The fire,234000000,Bin 4 (Highest)
no time,233000000,Bin 4 (Highest)
the demand,232000000,Bin 4 (Highest)
number one,229000000,Bin 4 (Highest)
The district,229000000,Bin 4 (Highest)
negotiations,228000000,Bin 4 (Highest)
A culture,227000000,Bin 4 (Highest)
The men,226000000,Bin 4 (Highest)
This system,226000000,Bin 4 (Highest)
The move,224000000,Bin 4 (Highest)
the administration,224000000,Bin 4 (Highest)
cables,219000000,Bin 4 (Highest)
many others,218000000,Bin 4 (Highest)
Isle of Man,217000000,Bin 4 (Highest)
The Format,217000000,Bin 4 (Highest)
Indian Ocean,217000000,Bin 4 (Highest)
the club,216000000,Bin 4 (Highest)
Abraham,215000000,Bin 4 (Highest)
the Philippines,214000000,Bin 4 (Highest)
the border,213000000,Bin 4 (Highest)
Penn,212000000,Bin 4 (Highest)
descent,212000000,Bin 4 (Highest)
Dissemination,212000000,Bin 4 (Highest)
That year,210000000,Bin 4 (Highest)
Ottawa,210000000,Bin 4 (Highest)
her work,210000000,Bin 4 (Highest)
the agency,209000000,Bin 4 (Highest)
The agency,209000000,Bin 4 (Highest)
a government,209000000,Bin 4 (Highest)
the church,208000000,Bin 4 (Highest)
its name,204000000,Bin 4 (Highest)
leagues,204000000,Bin 4 (Highest)
Seth,202000000,Bin 4 (Highest)
Her mother,201000000,Bin 4 (Highest)
troops,201000000,Bin 4 (Highest)
the band,197000000,Bin 4 (Highest)
The band,197000000,Bin 4 (Highest)
a majority,197000000,Bin 4 (Highest)
Civil War,196000000,Bin 4 (Highest)
The committee,196000000,Bin 4 (Highest)
Athens,194000000,Bin 4 (Highest)
The village,193000000,Bin 4 (Highest)
these things,193000000,Bin 4 (Highest)
the village,193000000,Bin 4 (Highest)
the federal government,193000000,Bin 4 (Highest)
Mushroom,193000000,Bin 4 (Highest)
the award,189000000,Bin 4 (Highest)
Stefan,189000000,Bin 4 (Highest)
a boy,188000000,Bin 4 (Highest)
The division,188000000,Bin 4 (Highest)
the crowd,185000000,Bin 4 (Highest)
noon,185000000,Bin 4 (Highest)
England and Wales,185000000,Bin 4 (Highest)
the investigation,184000000,Bin 4 (Highest)
Ferrari,184000000,Bin 4 (Highest)
the ball,183000000,Bin 4 (Highest)
a show,182000000,Bin 4 (Highest)
friction,180000000,Bin 4 (Highest)
the works,177000000,Bin 4 (Highest)
the commission,176000000,Bin 4 (Highest)
the airport,176000000,Bin 4 (Highest)
The commission,176000000,Bin 4 (Highest)
the bill,175000000,Bin 4 (Highest)
salads,175000000,Bin 4 (Highest)
The statement,175000000,Bin 4 (Highest)
Oakland,171000000,Bin 4 (Highest)
seven years,170000000,Bin 4 (Highest)
shareholders,170000000,Bin 4 (Highest)
the Spanish,170000000,Bin 4 (Highest)
Hugh,169000000,Bin 4 (Highest)
hundreds of people,169000000,Bin 4 (Highest)
the stock,169000000,Bin 4 (Highest)
Morrison,169000000,Bin 4 (Highest)
The race,169000000,Bin 4 (Highest)
the race,169000000,Bin 4 (Highest)
the incident,168000000,Bin 4 (Highest)
This technique,167000000,Bin 4 (Highest)
an agreement,166000000,Bin 4 (Highest)
a contract,166000000,Bin 4 (Highest)
Reporters,164000000,Bin 4 (Highest)
ceramics,164000000,Bin 4 (Highest)
reporters,164000000,Bin 4 (Highest)
Saturday night,164000000,Bin 4 (Highest)
indexing,163000000,Bin 4 (Highest)
The recovery,163000000,Bin 4 (Highest)
the species,163000000,Bin 4 (Highest)
Venice,161000000,Bin 4 (Highest)
the liver,160000000,Bin 4 (Highest)
women and children,159000000,Bin 4 (Highest)
Witnesses,158000000,Bin 4 (Highest)
The researchers,157000000,Bin 4 (Highest)
the installation,156000000,Bin 4 (Highest)
the same year,155000000,Bin 4 (Highest)
The train,155000000,Bin 4 (Highest)
Frankfurt,154000000,Bin 4 (Highest)
my mother,154000000,Bin 4 (Highest)
The army,153000000,Bin 4 (Highest)
his way,153000000,Bin 4 (Highest)
the Army,153000000,Bin 4 (Highest)
the army,152000000,Bin 4 (Highest)
that person,152000000,Bin 4 (Highest)
a shot,151000000,Bin 4 (Highest)
London (UK),151000000,Bin 4 (Highest)
a replacement,151000000,Bin 4 (Highest)
The guide,150000000,Bin 4 (Highest)
Proton,145000000,Bin 4 (Highest)
The county,144000000,Bin 4 (Highest)
the Constitution,144000000,Bin 4 (Highest)
a road,143000000,Bin 4 (Highest)
the European Commission,143000000,Bin 4 (Highest)
pregnant women,143000000,Bin 4 (Highest)
the programme,142000000,Bin 4 (Highest)
Medicaid,139000000,Bin 4 (Highest)
UCLA,139000000,Bin 4 (Highest)
Democrats,137000000,Bin 4 (Highest)
Factories,136000000,Bin 4 (Highest)
Kathleen,135000000,Bin 4 (Highest)
The decline,135000000,Bin 4 (Highest)
religions,134000000,Bin 4 (Highest)
North Africa,133000000,Bin 4 (Highest)
"the ""one country two systems ""formula",132000000,Bin 4 (Highest)
the attack,130000000,Bin 4 (Highest)
The organisation,129000000,Bin 4 (Highest)
the sentence,128000000,Bin 4 (Highest)
a foundation,127000000,Bin 4 (Highest)
the sales,125000000,Bin 4 (Highest)
a contributor,124000000,Bin 4 (Highest)
his hand,123000000,Bin 4 (Highest)
Sutton,122000000,Bin 4 (Highest)
The bone,121000000,Bin 4 (Highest)
a spot,121000000,Bin 4 (Highest)
Slash,120000000,Bin 4 (Highest)
the sport,119000000,Bin 4 (Highest)
the province,119000000,Bin 4 (Highest)
Buddha,119000000,Bin 4 (Highest)
this fall,118000000,Bin 4 (Highest)
"Los Angeles, California",118000000,Bin 4 (Highest)
the script,118000000,Bin 4 (Highest)
The ship,117000000,Bin 4 (Highest)
Muslims,117000000,Bin 4 (Highest)
his parents,116000000,Bin 4 (Highest)
two men,116000000,Bin 4 (Highest)
Lisbon,116000000,Bin 4 (Highest)
The step,115000000,Bin 4 (Highest)
Bradford,114000000,Bin 4 (Highest)
His parents,114000000,Bin 4 (Highest)
The visitors,114000000,Bin 4 (Highest)
rheumatoid arthritis,114000000,Bin 4 (Highest)
the visitors,114000000,Bin 4 (Highest)
NATO,113000000,Bin 4 (Highest)
the English language,113000000,Bin 4 (Highest)
the episode,113000000,Bin 4 (Highest)
the ideas,111000000,Bin 4 (Highest)
detention,111000000,Bin 4 (Highest)
its effects,109000000,Bin 4 (Highest)
this person,109000000,Bin 4 (Highest)
prominence,109000000,Bin 4 (Highest)
heart attack,107000000,Bin 4 (Highest)
the measure,105000000,Bin 4 (Highest)
Wedge,105000000,Bin 4 (Highest)
a crowd,104000000,Bin 4 (Highest)
just a few days,104000000,Bin 4 (Highest)
Pitt,104000000,Bin 4 (Highest)
the match,103000000,Bin 4 (Highest)
Brennan,102000000,Bin 4 (Highest)
the proposal,102000000,Bin 4 (Highest)
his eyes,101000000,Bin 4 (Highest)
The station,101000000,Bin 4 (Highest)
